URL,Unique Visitors,Section,Product
/blog/cfa/top-tips-to-pass-the-level-iii-cfa-exam-in-2017/,9,Blog,CFA
/blog/cfa/free-cfa-lecture-fundamental-concepts-frequency-distribut,9,Blog,CFA
/blog/cpa/beths-cpa-exam-journey/,9,Blog,CPA
/cpa/resources/michael-marshall/,9,Resources,CPA
/blog/cpa/bryce-welker-crush-the-cpa-exam/,9,Blog,CPA
/blog/cma/ima-learning-outcome-statements/,9,Blog,CMA
/blog/cma/free-cma-lesson-capital-budgeting-process/,9,Blog,CMA
/cma/resources/do-with-cma-certification/,9,Resources,CMA
/blog/cma/5-big-reasons-to-choose-cma-over-mba/,9,Blog,CMA
/blog/cpa/free-cpa-lesson-income-statement/,9,Blog,CPA
/blog/cia/certified-internal-auditor-career-paths/,9,Blog,CIA
/blog/cpa/master-tricky-cpa-topics/,9,Blog,CPA
/blog/cpa/your-april-2017-wiley-cpaexcel-course-is-here/,9,Blog,CPA
/blog/cpa/stephanie-ng-i-pass-the-cpa-exam/,9,Blog,CPA
/cpa/resources/cpa-exam-updates-video/,8,Resources,CPA
/caia/resources/exam-testing-centers/,8,Resources,CAIA
/blog/cma/free-cma-lesson-value-chain-life-cycle-cost/,8,Blog,CMA
/blog/cpa/why-become-a-cpa/,8,Blog,CPA
/cma/resources/what-to-expect-on-exam-day/,8,Resources,CMA
/cpa/resources/webinar-info-session-for-prospective-cpas/,8,Resources,CPA
/cia/resources/#exam,8,Resources,CIA
/cpa/resources/2017-cpa-exam-changes/?utm_source=google&utm_medium=,8,Resources,CPA
/cpa/resources/video-task-based-simulations-overview-watch/,8,Resources,CPA
/cia/resources/requirements/,8,Resources,CIA
/blog/cpa/meet-the-professor-marianne-jennings/,8,Blog,CPA
/blog/frm/free-frm-exam-lecture-core-concepts-in-risk-management-ma,8,Blog,FRM
/blog/cma/cma-exam-basics/,8,Blog,CMA
/blog/cmt/,8,Blog,CMT
/blog/cfa/5-ways-de-stress-cfa-exam/,8,Blog,CFA
/blog/cia/cia-vs-cpa/,8,Blog,CPA
/blog/cma/double-up-stand-out/,8,Blog,CMA
